num_scan	hypnogram	SW	delta	theta	alpha	sigma	beta
242	0	3.016558721	2.099785221	1.571274542	1.736451754	0.793094181	-0.508926538
243	0	2.978786717	2.216511313	1.636424988	1.754595121	0.811748968	-0.493098452
244	0	2.996755484	2.304720285	1.641094368	1.767528344	0.898131398	-0.414802207
245	0	3.029223056	2.352442717	1.637209331	1.768158055	0.990532949	-0.285586653
246	0	3.109806936	2.343483544	1.609311879	1.711030382	1.095524004	-0.199434912
247	0	3.15888458	2.30797847	1.561772382	1.651188943	1.174744121	-0.180559179
248	0	3.245686879	2.212339475	1.551526918	1.620116063	1.170665748	-0.170262933
249	0	3.318607794	2.154309149	1.590798545	1.565649818	1.113111605	-0.193259544
250	0	3.42743716	2.188061331	1.684755839	1.58396182	1.052879581	-0.246590152
251	0	3.51071134	2.314147804	1.79786826	1.631914042	0.970745814	-0.268348572
252	0	3.609069708	2.450820702	1.896167051	1.618185934	0.90546077	-0.251265351
253	0	3.631179431	2.578535484	1.966219748	1.592413515	0.916953265	-0.247231493
254	0	3.646805228	2.653444489	2.02739725	1.58799951	0.949656123	-0.246380086
255	0	3.689760571	2.737035635	2.037524108	1.524642482	0.96364246	-0.267608685
256	0	3.731559277	2.75082624	2.009757349	1.50230846	0.970339281	-0.311142795
257	0	3.749194167	2.720467528	1.977139111	1.582929885	0.975250506	-0.366743586
258	0	3.833361889	2.693489419	1.944847239	1.676672692	0.96817695	-0.387893533
259	0	3.921347566	2.697706017	1.881740185	1.761709174	0.941409744	-0.400786169
260	0	3.90557487	2.542841732	1.779937991	1.816428783	0.923540466	-0.379319658
261	0	3.94235691	2.552971467	1.765426375	1.905791013	1.054010254	-0.354215587
262	0	4.117855414	2.627047355	1.791939881	1.94488724	1.139277335	-0.331670253
263	0	4.227768213	2.72666638	1.831590712	1.973314794	1.191933087	-0.336963445
264	0	4.329879921	2.808031116	1.899406351	1.998705034	1.272947203	-0.329508618
265	0	4.427304618	2.94918435	1.980489921	2.041093793	1.350067283	-0.347982652
266	0	4.508110417	2.899469101	1.947912329	1.924438333	1.224465907	-0.356219546
267	0	4.429746218	2.812966185	1.872780859	1.814334677	1.102985024	-0.383625657
268	0	4.454774204	2.666404667	1.786064186	1.704391852	1.019849173	-0.398797653
269	0	4.557880276	2.538743068	1.723056117	1.609310017	0.895660183	-0.433615589
270	0	4.995868025	2.583081639	1.723509808	1.700435125	0.811359395	-0.390341349
271	1	5.272350844	2.769139669	1.850786371	1.919552323	0.938094773	-0.368735561
272	1	5.522325731	2.949905888	1.999388265	2.074789307	1.063113892	-0.327363729
273	1	5.672195462	3.127645002	2.117721831	2.191246004	1.135306951	-0.291731918
274	1	5.75760209	3.238725298	2.186780301	2.26499255	1.208568538	-0.249584534
275	1	5.562121874	3.178452345	2.212519771	2.156199385	1.200440629	-0.291691533
276	1	5.323693107	3.080822372	2.163219123	2.013615261	1.139757506	-0.327180606
277	1	4.996098999	3.010771617	2.106532182	1.89383632	1.054380607	-0.367902343
278	1	4.591931882	2.927321889	2.073655522	1.765518306	0.986172348	-0.432072928
279	1	3.998386192	2.879615623	2.062418651	1.666486107	0.927122215	-0.510525155
280	1	3.972857931	2.977061088	2.105636756	1.760876155	1.146018531	-0.499176995
281	1	3.988215449	3.056093535	2.211089524	1.921371386	1.334545254	-0.465384262
282	1	3.980612034	3.034851728	2.300080637	2.035135842	1.501328088	-0.421656361
283	1	3.941559603	3.047475505	2.376174348	2.164912623	1.634668889	-0.353533731
284	1	3.923307937	3.038638046	2.414951431	2.291893177	1.74187368	-0.278065614
285	1	3.857724003	2.981798284	2.397104535	2.341466983	1.632123382	-0.288884705
286	1	3.847678339	2.980838868	2.348583932	2.296969834	1.5165985	-0.322600516
287	1	4.091549552	3.039129794	2.270071596	2.272464026	1.377218238	-0.342762334
288	1	4.344829672	3.110912455	2.15245059	2.218400715	1.245151947	-0.360650592
289	1	4.700212917	3.392851355	2.096286015	2.231412121	1.101610046	-0.371792871
290	1	5.023391712	3.663334961	2.08719854	2.179240745	1.136963633	-0.295147412
291	1	5.283146792	3.88656468	2.095529508	2.17885056	1.174671122	-0.204288959
292	1	5.408979204	4.087088142	2.156039921	2.156014797	1.227775726	-0.142879367
293	1	5.500712054	4.224295248	2.270305065	2.141346925	1.244868869	-0.080653253
294	1	5.466270083	4.193663295	2.353983098	2.021718078	1.259032103	-0.023361273
295	1	5.349024178	4.122136045	2.428268024	2.021718078	1.237633442	-0.010588278
296	1	5.154013541	4.013825377	2.512854157	2.021718078	1.19292656	-0.015917519
297	1	4.928020106	3.845417833	2.582117098	2.021718078	1.134566001	-0.014443614
298	1	4.723433153	3.661874501	2.613980957	2.231180016	1.134995674	-0.014069266
299	1	4.634153209	3.578117281	2.633060422	2.378072985	1.165188191	-0.020910034
300	1	4.644888636	3.500344352	2.640470124	2.483616981	1.227645702	-0.029773382
301	1	4.680837831	3.418556914	2.599671702	2.535053423	1.290022087	-0.050378939
302	1	4.768209725	3.374506673	2.512411013	2.531266251	1.347716128	-0.100135966
303	1	4.692395368	3.335211094	2.413017256	2.345134353	1.352276792	-0.188995001
304	1	4.587711129	3.329500629	2.27523151	2.147339676	1.340401705	-0.292054321
305	1	4.428700489	3.329247169	2.095274163	1.934445019	1.318270743	-0.367189907
306	1	4.283679322	3.316392167	1.96285374	1.776215895	1.314502402	-0.381202183
307	1	4.047983608	3.267242261	1.888546996	1.696986322	1.330516834	-0.335134118
308	1	4.085119066	3.196809661	1.871710132	1.695443236	1.374964506	-0.215200743
309	1	4.158206118	3.075544887	2.074971052	1.769203099	1.427962593	-0.087579036
310	1	4.292812942	2.926152337	2.277470398	1.852723621	1.476255293	0.008331688
311	1	4.401079102	2.803118313	2.422021787	1.927538199	1.527369541	0.05163192
312	1	4.532977873	2.767502694	2.560829701	2.036726069	1.547453837	0.082809859
313	1	4.495683195	2.782454917	2.663580821	2.143156079	1.520803644	0.047612821
314	1	4.468484143	2.932575772	2.602799205	2.152203663	1.467285699	-0.009035669
315	1	4.436830651	3.085152039	2.54406061	2.135824845	1.468146051	-0.066111925
316	1	4.410354282	3.238605089	2.523676953	2.151841439	1.507431351	-0.066588398
317	1	4.460927532	3.363689728	2.515534363	2.197843383	1.577997234	-0.095767631
318	1	4.625406719	3.445662245	2.494452203	2.199579538	1.721900895	-0.082716064
319	1	4.75921116	3.438212196	2.565769345	2.284650844	1.852253729	-0.053557954
320	1	5.117392583	3.558352684	2.684666225	2.393533609	1.925709272	0.003836924
321	1	5.416413401	3.71540508	2.788405992	2.478429434	1.923998741	0.045235498
322	1	5.591471059	3.834417578	2.846988756	2.49971552	1.898216991	0.109163592
323	1	5.718666327	3.956140505	2.917717972	2.550293899	1.829137313	0.152063534
324	1	5.812008266	4.05777633	2.955379917	2.521012969	1.749291463	0.175073847
325	1	5.642457471	4.004524333	2.895841246	2.471836871	1.666027445	0.161314761
326	1	5.362073931	3.834836091	2.747346052	2.358067393	1.632895459	0.091247503
327	1	5.051642434	3.601826964	2.584634327	2.242429107	1.634874837	0.027295522
