num_scan	state	face	maze	prep_face	pre_maze	rest
1668	rest	0.000141443	0.000116286	0.0002586	0.000193432	0.99929
1669	rest	4.91E-05	2.02E-05	6.86E-05	7.91E-05	0.999783
1670	rest	9.08E-05	1.47E-05	2.37E-05	1.30E-05	0.999858
1671	rest	0.000160241	3.76E-05	4.22E-05	4.28E-05	0.999717
1672	rest	0.000672665	0.000140664	8.45E-05	6.42E-05	0.999038
1673	rest	0.00119876	0.00033445	8.86E-05	0.000165743	0.998212
1674	rest	0.000692449	0.000284096	0.000118208	0.000273964	0.998631
1675	rest	0.000726788	0.000609048	5.13E-05	7.53E-05	0.998538
1676	rest	0.00115321	0.000508394	0.000131786	0.000219748	0.997987
1677	rest	4.39E-05	2.36E-05	2.71E-06	3.64E-06	0.999926
1678	rest	2.71E-05	2.39E-05	2.46E-05	3.15E-05	0.999893
1679	rest	4.98E-05	0.000336633	5.30E-05	1.41E-05	0.999546
1680	rest	0.00036763	0.000809961	0.000237352	0.000810391	0.997775
1681	rest	0.000326309	0.00176591	0.000120399	0.000124583	0.997663
1682	rest	0.000247091	0.00467908	0.000300617	0.000637599	0.994136
1683	rest	0.000790427	0.00952118	4.48E-05	5.91E-05	0.989584
1684	rest	0.00178029	0.0158161	0.000513855	0.000190849	0.981699
1685	rest	0.0019052	0.0136951	0.000103012	0.00113388	0.983163
1686	rest	0.00131197	0.0109272	0.000118319	0.000338315	0.987304
1687	rest	0.000589932	0.0051715	9.62E-05	4.08E-06	0.994138
1688	rest	0.000862931	0.00233944	0.000742349	5.05E-05	0.996005
1689	rest	0.00275977	0.00145988	5.27E-05	0.000138054	0.99559
1690	rest	0.00320892	0.00085401	0.000150056	4.74E-05	0.99574
1691	rest	0.00255564	0.000232259	0.000145285	3.39E-05	0.997033
1692	rest	0.00207288	6.46E-05	2.87E-05	2.83E-05	0.997805
1693	rest	0.00221199	6.98E-05	0.000129687	9.02E-06	0.99758
1694	rest	0.0015075	0.000115235	3.67E-05	5.60E-05	0.998285
1695	rest	0.00138788	0.000392976	0.000252963	0.00016833	0.997798
1696	rest	0.00874617	0.00356302	0.00150268	0.000768538	0.98542
1697	rest	0.0190973	0.00453409	0.000724812	0.00155757	0.974086
1698	rest	0.0293741	0.00726207	0.00256124	0.00530732	0.955495
1699	rest	0.0451616	0.0213607	0.00166148	0.0013764	0.93044
1700	rest	0.0492712	0.0227282	0.00238076	0.00683535	0.918784
1701	rest	0.0556214	0.0257723	0.000564934	0.00029528	0.917746
1702	rest	0.0557589	0.0300469	0.00165387	0.000265928	0.912274
1703	rest	0.0560459	0.022296	8.04E-05	6.15E-05	0.921516
1704	rest	0.0287707	0.00850151	2.30E-05	2.86E-05	0.962676
1705	rest	0.0187152	0.00285693	0.000148522	2.64E-05	0.978253
1706	rest	0.00704127	0.00051456	0.000152565	1.66E-05	0.992275
1707	rest	0.00377623	0.000232182	0.000112178	0.00027283	0.995607
1708	rest	0.00121218	0.000558091	2.83E-05	2.05E-05	0.998181
1709	rest	0.000777823	0.00100919	3.39E-05	3.78E-05	0.998141
1710	rest	0.000422117	0.000921962	0.000107818	1.48E-05	0.998533
1711	rest	9.52E-05	0.000965337	0.000171085	6.56E-05	0.998703
1712	rest	0.000991739	0.00903804	0.000346668	0.00856287	0.981061
1713	rest	0.00151269	0.03351	0.000421084	0.000686382	0.96387
1714	rest	0.0015134	0.0865368	0.00141246	0.00607463	0.904463
1715	rest	0.0015214	0.154761	0.00237673	0.0102631	0.831078
1716	rest	0.00296808	0.222761	0.00256341	0.00782001	0.763887
1717	rest	0.00415043	0.244075	0.00116232	0.00174955	0.748863
1718	rest	0.00565552	0.247039	0.00121777	0.000726964	0.745361
